STARR STREET,|['WOODWARD AVENUE', 'METROPOLITAN AVENUE']|
235 STREET,|['121 AVENUE', '120 AVENUE']|
METROTECH TUNNEL,|['LAWRENCE STREET', 'JAY STREET']|
WEST   89 STREET,|['BROADWAY', 'WEST END AVENUE']|
EBBITTS AVENUE,|['MILL ROAD', 'HYLAN BOULEVARD']|
COURT SQUARE           *N ROAD,|['COURT SQUARE           *E ROAD', 'COURT SQUARE           *W ROAD']|
CLAREMONT PARKWAY,|['WASHINGTON AVENUE', 'THIRD AVENUE']|
EAST   40 STREET,|['AVENUE OF THE AMERICAS', 'FIFTH AVENUE']|
HAWLEY AVENUE,|['WOODHULL AVENUE', 'HUGUENOT AVENUE']|
NORTH    1 STREET,|['WYTHE AVENUE', 'KENT AVENUE']|
FENIMORE STREET,|['ALBANY AVENUE', 'TROY AVENUE']|
89 STREET,|['151 AVENUE', 'SOUTH CONDUIT AVENUE']|
BRIGHTON   15 STREET,|['CORBIN PLACE', 'BRIGHTON BEACH AVENUE']|
HARING STREET,|['63 AVENUE', '63 DRIVE']|
TINTON AVENUE,|['HOME STREET', 'EAST  168 STREET']|
PENNSYLVANIA AVENUE,|['SEAVIEW AVENUE', 'GENEVA LOOP            *S']|
SYLVATON TERRACE,|['EDGEWATER STREET', 'BAY STREET']|
FERRIS PLACE,|['WESTCHESTER AVENUE', 'BUTLER PLACE']|
CONNER STREET,|['BOSTON ROAD', 'HOLLERS AVENUE']|
POPLAR STREET,|['ORIENT AVENUE', 'DEAD END']|
PITTSVILLE AVENUE,|['CRAIG AVENUE', 'SATTERLEE STREET']|
STATION ROAD,|['UTOPIA PARKWAY', '172 STREET']|
AVENUE W               *S,|['WEST    6 STREET', 'VAN SICKLEN STREET']|
BOGART AVENUE,|['LYDIG AVENUE', 'PELHAM PARKWAY SOUTH']|
RAPELYE STREET,|['HICKS STREET', 'HAMILTON AVENUE']|
SMITH TERRACE,|['DEAD END', 'VAN DUZER STREET']|
NORTHERN BOULEVARD     *N S/R,|['VAN WYCK EXPRESSWAY', 'HARPER STREET']|
WEST  240 STREET,|['IRWIN AVENUE', 'TIBBETT AVENUE']|
WHITE PLAINS ROAD,|['STORY AVENUE', 'TURNBULL AVENUE']|
GLENWOOD ROAD,|['STONE AVENUE', 'WATKINS STREET']|
169 STREET,|['81 AVENUE', 'DEAD END']|
DEY STREET,|['BROADWAY', 'CHURCH STREET']|
17 COURT,|['17 AVENUE', 'BAY   16 STREET']|
MAC DOUGAL STREET,|['HOWARD AVENUE', 'RALPH AVENUE']|
PERRY AVENUE,|['HAMILTON PLACE', '66 STREET']|
METROPOLITAN AVENUE,|['GRISWOLD COURT', 'FOREST AVENUE']|
29 STREET,|['DEAD END', 'ASTORIA BOULEVARD']|
HESSLER AVENUE,|['BEACH   69 STREET', 'BEACH   72 STREET']|
NEW DORP LANE          *CTR MALL,|['MILL ROAD', 'HYLAN BOULEVARD']|
WYATT STREET,|['BRONX PARK AVENUE', 'MORRIS PARK AVENUE']|
EXETER STREET,|['70 AVENUE', '69 AVENUE']|
OSMAN PLACE,|['CRANFORD AVENUE', 'EAST  241 STREET']|
POWERS STREET,|['GRAHAM AVENUE', 'MANHATTAN AVENUE']|
WEST  231 STREET,|['SEDGWICK AVENUE', 'DEAD END']|
STEWART AVENUE,|['CASWELL AVENUE', 'WATCHOGUE ROAD']|
NEW LANE,|['COURTNEY LOOP          *E', 'SCARBORO AVENUE']|
EAST  130 STREET,|['PARK AVENUE', 'LEXINGTON AVENUE']|
NURGE AVENUE,|['54 STREET', 'NO NAME STREET']|
EAST  175 STREET,|['PROSPECT AVENUE', 'CLINTON AVENUE']|
WEST  168 STREET,|['AUDUBON AVENUE', 'MITCHELL SQUARE']|
EAST   14 STREET       *N SRVC,|['AVENUE B', 'AVENUE A']|
NORTH    7 STREET,|['KENT AVENUE', 'DEAD END']|
190 PLACE,|['110 ROAD', '109 ROAD']|
HOMELAWN STREET,|['HIGHLAND AVENUE', '169 STREET']|
NAGLE AVENUE,|['DYCKMAN STREET', 'WEST  204 STREET']|
EGGERT PLACE,|['DEAD END', 'ENRIGHT ROAD']|
EATON COURT,|['BARTLETT PLACE', 'CYRUS AVENUE']|
WALWORTH STREET,|['WILLOUGHBY AVENUE', 'MYRTLE AVENUE']|
VINCENT AVENUE,|['SCHLEY AVENUE', 'DEAD END']|
WEEHAWKEN STREET,|['CHRISTOPHER STREET', 'WEST   10 STREET']|
WHITE PLACE,|['DONGAN STREET', 'CLOVE ROAD']|
P.S.56 DRIVEWAY,|['KRAMER AVENUE', 'WOODROW ROAD']|
WEST   70 STREET,|['DEAD END', 'WEST END AVENUE']|
74 PLACE,|['88 ROAD', '90 AVENUE']|
CANDON AVENUE,|['DEAD END', 'DEAD END']|
MCKEE AVENUE,|['MANSION AVENUE', 'HYLAN BOULEVARD']|
WOLF PLACE,|['WEST    6 STREET', 'VAN SICKLEN STREET']|
WINTERS STREET,|['DEAD END', 'CITY ISLAND AVENUE']|
MARINE WAY,|['MILTON AVENUE', 'FINLEY AVENUE']|
WATSON AVENUE,|['CASTLE HILL AVENUE', 'CROSS BRONX EXPRESSWAY']|
SHINBONE ALLEY,|['BOND STREET', 'JONES ALLEY']|
CORTELYOU AVENUE,|['BARLOW AVENUE', 'EAST MACON AVENUE']|
HUBERT STREET,|['GREENWICH STREET', 'COLLISTER STREET']|
MAYFLOWER AVENUE,|['EAST TREMONT AVENUE', 'WATERBURY AVENUE']|
TYRRELL STREET,|['DEAD END', 'ARTHUR KILL ROAD']|
JERSEY STREET,|['CARLYLE STREET', 'PAUW STREET']|
25 ROAD,|['DEAD END', '27 STREET']|
MARGARET CORBIN DRIVE,|['CORBIN DRIVE', 'CORBIN DRIVE']|
HILLCREST COURT,|['HILLCREST TERRACE', 'DEAD END']|
BOONE AVENUE,|['CROSS BRONX EXPRESSWAY', 'EAST  174 STREET']|
OLD FULTON STREET,|['ELIZABETH PLACE', 'HICKS STREET']|
163 ROAD,|['104 STREET', 'DEAD END']|
HOME AVENUE,|['FINGERBOARD ROAD', 'EVELYN PLACE']|
MC LAUGHLIN AVENUE,|['SANTIAGO STREET', '188 STREET']|
EAST   25 STREET,|['FDR DRIVE', 'FIRST AVENUE']|
REMINGTON STREET,|['150 AVENUE', 'LIBERTY AVENUE']|
